"label","url"
http://www.statsbiblioteket.dk/doms/shard/uuid:b2e72e83-03ae-47c9-9f8d-633c5df28af7,http://bitfinder.statsbiblioteket.dk/bart/dr1_196.250_K11-DR1_mpeg2_20080508055601_20080509015601_encoder2-2.mpeg
http://www.statsbiblioteket.dk/doms/shard/uuid:82d2355e-4a07-4686-b51e-080b0b0ea8b5,http://bitfinder.statsbiblioteket.dk/bart/mux1.1287979200-2010-10-25-06.00.00_1287982800-2010-10-25-07.00.00_dvb1-1.ts
http://www.statsbiblioteket.dk/doms/shard/uuid:f8e7fb41-d54b-497d-83aa-0406bcb39b5d,http://bitfinder.statsbiblioteket.dk/bart/mux1.1287601200-2010-10-20-21.00.00_1287604800-2010-10-20-22.00.00_dvb1-1.ts
http://www.statsbiblioteket.dk/doms/shard/uuid:567f250f-47c8-413e-b09f-da90f906cf48,http://bitfinder.statsbiblioteket.dk/bart/mux2.1287435600-2010-10-18-23.00.00_1287439200-2010-10-19-00.00.00_dvb1-1.ts
http://www.statsbiblioteket.dk/doms/shard/uuid:567f250f-47c8-413e-b09f-da90f906cf48,http://bitfinder.statsbiblioteket.dk/bart/mux2.1287432000-2010-10-18-22.00.00_1287435600-2010-10-18-23.00.00_dvb1-1.ts
http://www.statsbiblioteket.dk/doms/shard/uuid:efe540a6-57bd-4d7c-ac24-017ef4dfb56d,http://bitfinder.statsbiblioteket.dk/bart/tv3_663.250_K45-TV3_mpeg1_20080511195601_20080511230601_encoder6-2.mpeg
http://www.statsbiblioteket.dk/doms/shard/uuid:37b234d2-097d-4ca7-951b-d0407112d150,http://bitfinder.statsbiblioteket.dk/bart/mux1.1287601200-2010-10-20-21.00.00_1287604800-2010-10-20-22.00.00_dvb1-1.ts
http://www.statsbiblioteket.dk/doms/shard/uuid:aaf6fd2e-a08b-417b-ab83-3a521099eb31,http://bitfinder.statsbiblioteket.dk/bart/mux1.1287608400-2010-10-20-23.00.00_1287612000-2010-10-21-00.00.00_dvb1-1.ts
http://www.statsbiblioteket.dk/doms/shard/uuid:d0a9e4c1-48fa-44f9-82e8-66436e4fd451,http://bitfinder.statsbiblioteket.dk/bart/tv2d_511.250_K10-TV2-Danmark_mpeg2_20080509045601_20080510045502_encoder1-2.mpeg
http://www.statsbiblioteket.dk/doms/shard/uuid:04f41f7c-f356-473d-b36a-7b76b0e93ebb,http://bitfinder.statsbiblioteket.dk/bart/drp1_88.100_DR-P1_pcm_20080508045601_20080509045501_encoder5-2.wav
http://www.statsbiblioteket.dk/doms/shard/uuid:8759f244-18ce-4f1c-8bae-aaab365ccced,http://bitfinder.statsbiblioteket.dk/bart/drp1_88.100_DR-P1_pcm_20101019045601_20101020045502_encoder5-2.wav
http://www.statsbiblioteket.dk/doms/shard/uuid:b0d7d39b-b068-448e-8b8f-979fc5419ec8,http://bitfinder.statsbiblioteket.dk/bart/dr1_196.250_K11-DR1_mpeg2_20080507055601_20080508021001_encoder2-2.mpeg
http://www.statsbiblioteket.dk/doms/shard/uuid:07b74798-fc32-4f80-a6a6-c0891cc6454d,http://bitfinder.statsbiblioteket.dk/bart/tv2d_511.250_K10-TV2-Danmark_mpeg2_20080511062602_20080512045502_encoder1-2.mpeg
